Post ID,Influencer Handle,Content Type,Post Date,Likes,Comments,Shares,Followers,Post Reach,Hashtags
POST0000,@influencer7,Image,2023-12-15,5490,111,71,115268,66564,"#beauty,#fashion"
POST0001,@influencer8,Image,2023-05-11,1785,313,257,326879,250374,"#tech,#travel"
POST0002,@influencer12,Reel,2023-02-18,8766,63,169,154503,51560,"#fitness,#fashion,#beauty"
POST0003,@influencer3,Reel,2023-11-03,8938,25,166,354457,304516,"#travel,#food"
POST0004,@influencer20,Image,2023-09-21,8326,210,80,490283,120506,"#travel,#fitness"
POST0005,@influencer18,Story,2023-02-13,261,206,269,430822,360813,"#travel,#tech"
POST0006,@influencer13,Story,2023-02-22,4987,414,216,222851,130507,#fashion
POST0007,@influencer9,Image,2023-05-09,2127,140,62,141330,36614,"#beauty,#food,#fashion"
POST0008,@influencer9,Image,2023-05-15,8492,332,267,380713,67130,"#food,#fitness,#fashion"
POST0009,@influencer3,Reel,2023-08-15,8210,466,130,189064,128068,"#fashion,#food,#beauty"
POST0010,@influencer10,Image,2023-06-28,963,235,240,112059,61701,"#tech,#fashion"
POST0011,@influencer7,Carousel,2023-08-31,3257,288,65,376369,280958,#fitness
POST0012,@influencer11,Image,2023-12-14,5692,235,189,290920,92426,"#fashion,#travel,#beauty"
POST0013,@influencer7,Story,2023-05-17,4513,169,224,496314,156601,"#lifestyle,#fashion,#beauty"
POST0014,@influencer17,Story,2023-02-21,1391,299,112,72172,23663,#lifestyle
POST0015,@influencer5,Image,2023-08-13,6628,407,125,223164,109698,"#fashion,#fitness"
POST0016,@influencer6,Image,2023-11-21,3031,102,197,94045,49714,#tech
POST0017,@influencer20,Image,2023-12-12,2086,151,147,138983,24591,#tech
POST0018,@influencer18,Carousel,2023-10-25,362,256,143,363745,322181,#travel
POST0019,@influencer9,Reel,2023-04-09,9974,308,207,71690,56280,"#tech,#beauty"
POST0020,@influencer20,Story,2023-08-15,2657,477,98,138272,14387,"#tech,#beauty"
POST0021,@influencer4,Reel,2023-03-09,7044,402,276,485047,338171,"#fashion,#beauty,#lifestyle"
POST0022,@influencer14,Story,2023-02-07,3536,55,263,155810,69727,#fashion
POST0023,@influencer16,Carousel,2023-01-04,4742,196,48,110983,26823,"#fitness,#food"
POST0024,@influencer9,Reel,2023-10-07,3520,306,180,120294,104763,#fashion
POST0025,@influencer3,Image,2023-01-18,1916,494,222,421309,276725,"#fitness,#beauty"
POST0026,@influencer2,Story,2023-09-30,8196,397,298,214141,82999,#beauty
POST0027,@influencer13,Image,2023-11-09,4880,24,263,273799,114291,"#fitness,#tech"
POST0028,@influencer19,Reel,2023-07-05,674,194,124,289821,165970,"#lifestyle,#tech"
POST0029,@influencer11,Image,2023-04-11,3224,64,107,381836,177863,"#tech,#fashion"
POST0030,@influencer10,Story,2023-05-27,4852,124,274,33251,23117,"#food,#fitness"
POST0031,@influencer9,Image,2023-05-09,1181,126,0,397942,119459,"#travel,#fashion"
POST0032,@influencer7,Image,2023-03-10,7104,251,75,72215,16386,"#fashion,#tech"
POST0033,@influencer14,Story,2023-07-23,6717,436,38,489963,116886,"#travel,#food"
POST0034,@influencer2,Image,2023-08-11,7005,151,95,196232,104297,#beauty
POST0035,@influencer12,Story,2023-06-12,2527,37,178,360754,307785,"#beauty,#food,#tech"
POST0036,@influencer12,Carousel,2023-10-29,9045,39,214,98008,61213,#travel
POST0037,@influencer9,Carousel,2023-07-15,925,118,74,136484,17927,#travel
POST0038,@influencer9,Image,2023-07-11,2886,181,98,90999,18395,#fashion
POST0039,@influencer13,Carousel,2023-08-05,3014,365,285,379032,199924,#food
POST0040,@influencer12,Reel,2023-08-21,8182,80,264,433486,375156,"#beauty,#lifestyle,#fitness"
POST0041,@influencer3,Image,2023-01-25,5688,488,52,327710,237601,"#fitness,#food,#travel"
